,fom,coverage_key,name,language,arch
0,205000000000.0,99a73fe681a80b36bb8120421688fe3f8d766eeb8f25ca0e59b94c18375ff09f,BabelStream,Language 0,Platform A
1,174000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform A
2,,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform A
3,82968000000.0,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform A
4,107000000000.0,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform A
5,452000000000.0,0330cde45234b9e0be513859b26cbe0e38a90198ff1c84cd8696b60d6b78b848,BabelStream,Language 0,Platform B
6,304000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform B
7,,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform B
8,444000000000.0,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform B
9,286000000000.0,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform B
10,248000000000.0,99a73fe681a80b36bb8120421688fe3f8d766eeb8f25ca0e59b94c18375ff09f,BabelStream,Language 0,Platform C
11,250000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform C
12,,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform C
13,247000000000.0,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform C
14,,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform C
15,190000000000.0,99a73fe681a80b36bb8120421688fe3f8d766eeb8f25ca0e59b94c18375ff09f,BabelStream,Language 0,Platform D
16,181000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform D
17,,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform D
18,257000000000.0,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform D
19,,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform D
20,246000000000.0,99a73fe681a80b36bb8120421688fe3f8d766eeb8f25ca0e59b94c18375ff09f,BabelStream,Language 0,Platform E
21,244000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform E
22,,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform E
23,,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform E
24,,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform E
25,106000000000.0,0330cde45234b9e0be513859b26cbe0e38a90198ff1c84cd8696b60d6b78b848,BabelStream,Language 0,Platform F
26,91117000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform F
